"","text","created","url","latitude","longitude","retweets","hashtag"
"1","Not only my #BUGHEAD heart is broken now but also for #VARCHIE <ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad>. But please, for heaven<e2><80><99>s sake... no #barchie!!! @CW_Riverdale #riverdale",2017-12-07 14:23:13,"https://twitter.com/paraizu_l/status/938775911524003841",NA,NA,0,"#Riverdale"
"2","Exactly how I feel every time Cheryl graces the screen on #Riverdale https://t.co/kgx7CcF4zq",2017-12-07 14:23:09,"https://twitter.com/nevarasta/status/938775895476641802",NA,NA,0,"#Riverdale"
"3","@CW_Riverdale 
Every time I see my friends at work or even at home we always randomly yell #riverdale and get excited lmao",2017-12-07 14:22:58,"https://twitter.com/Kenny_Harold/status/938775847162572802",NA,NA,0,"#Riverdale"
"4","I can't believe Varchie and Bughead broke up. #riverdale https://t.co/W7uAz4xlHj",2017-12-07 14:22:44,"https://twitter.com/wonderxheart/status/938775788861710336",NA,NA,0,"#Riverdale"
"5","Omg I ship Alice and FP <ed><a0><bd><ed><b8><8d><ed><a0><bd><ed><b8><8d> #Riverdale",2017-12-07 14:22:42,"https://twitter.com/Ericazx_x/status/938775779965636610",NA,NA,0,"#Riverdale"
"6","OMG BETTY COOPER ???? <ed><a0><bd><ed><b8><b1><ed><a0><bd><ed><b8><b1><ed><a0><bd><ed><b8><b1> #RIVERDALE",2017-12-07 14:22:40,"https://twitter.com/Angela_afc/status/938775774877937664",NA,NA,0,"#Riverdale"
"7","Also calling it: dilton is involved in black hood in some way. Him and his survivor skills. And his line about bein<e2><80><a6> https://t.co/xy6eiswhCw",2017-12-07 14:22:25,"https://twitter.com/_j3nn/status/938775708108771330",NA,NA,0,"#Riverdale"
"8","Okay but since last night, Mad World is stuck in my head and I<e2><80><99>m completely okay with it<ed><a0><bc><ed><bc><9f><e2><98><84><ef><b8><8f><ed><a0><bd><ed><b4><a5>#Riverdale<e2><80><a6> https://t.co/aAmh3najWM",2017-12-07 14:22:20,"https://twitter.com/ju1lia0/status/938775686973743104",NA,NA,0,"#Riverdale"
"9","Nope still not available  #riverdale",2017-12-07 14:21:54,"https://twitter.com/simpleadet01/status/938775580891258880",NA,NA,0,"#Riverdale"
"10","Yesterday's episode of #riverdale reminded me that its a cw show first and foremost. Could have skipped it and wouldn't have missed much.",2017-12-07 14:21:48,"https://twitter.com/IluvRix/status/938775553909448705",NA,NA,0,"#Riverdale"
"11","like whatever archie and veronica need to make up but if i lose bughead AGAIN ill be pissed i cried like a baby las<e2><80><a6> https://t.co/FpkH0DaCOG",2017-12-07 14:21:39,"https://twitter.com/kstover02/status/938775518639517696",NA,NA,0,"#Riverdale"
"12","Cheryl is such a bitch...
#Riverdale",2017-12-07 14:21:30,"https://twitter.com/tess_dreamer/status/938775477250088962",NA,NA,0,"#Riverdale"
"13","@lilireinhart You singing on the latest episode of #Riverdale was beautiful <ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><e2><9d><a4><e2><9d><a4>",2017-12-07 14:21:19,"https://twitter.com/Nashere1/status/938775432660439045",NA,NA,0,"#Riverdale"
"14","i can<e2><80><99>t. we got ANOTHER iconic Alice Cooper entrance AND her acting like a bad ass. #Riverdale",2017-12-07 14:20:55,"https://twitter.com/Rahmulous/status/938775333322489857",NA,NA,0,"#Riverdale"
"15","bout time someone shut tall boy up jughead wasn't lying when he called him a little bitch #Riverdale",2017-12-07 14:20:52,"https://twitter.com/princericosuave/status/938775317946290176",NA,NA,0,"#Riverdale"
"16","Archie Andrews. <ed><a0><bd><ed><b8><8d> #Riverdale",2017-12-07 14:20:46,"https://twitter.com/Amanda_Niggles/status/938775295951286273",NA,NA,0,"#Riverdale"
"17","S2EP8 chapter 21: HOUSE OF THE DEVIL #Riverdale  <ed><a0><bd><ed><b2><95><ed><a0><bd><ed><b2><95> 

Kisses 
Obsession",2017-12-07 14:20:44,"https://twitter.com/Chexxiiaema_ss/status/938775285515747331",NA,NA,0,"#Riverdale"
"18","Ah can we talk about Betty stripping #Riverdale",2017-12-07 14:20:28,"https://twitter.com/siara_lewis_/status/938775220130926593",NA,NA,0,"#Riverdale"
"19","Broo si Betty <ed><a0><bd><ed><b4><a5>#Riverdale",2017-12-07 14:20:17,"https://twitter.com/_sxfiamdna/status/938775173930541056",NA,NA,0,"#Riverdale"
"20","ihad@ mental breakdown after watching the latest episode of #Riverdale  <ed><a0><be><ed><b4><a7><ed><a0><be><ed><b4><a7><ed><a0><be><ed><b4><a7><ed><a0><be><ed><b4><a7><ed><a0><be><ed><b4><a7><ed><a0><be><ed><b4><a7><ed><a0><be><ed><b4><a7><ed><a0><be><ed><b4><a7>",2017-12-07 14:20:09,"https://twitter.com/ClarinajoyceB/status/938775138652209152",NA,NA,0,"#Riverdale"
"21","we're also waiting for bughead to do it anywhere <ed><a0><bd><ed><b1><80> #Riverdale https://t.co/3rsrkTIG84",2017-12-07 14:20:03,"https://twitter.com/glezzyy/status/938775115864489984",NA,NA,0,"#Riverdale"
"22","Dear social media,why are you allowing anti christ ppl take over facebook? Coz i know someone whose anti christ<ed><a0><bd><ed><b8><a3> so<e2><80><a6> https://t.co/v3j91SrryP",2017-12-07 14:19:58,"https://twitter.com/rodriguez_pgg/status/938775092166778881",NA,NA,0,"#Riverdale"
"23","if barchie becomes a thing i will probably quit watching #riverdale like that is not the end game things need to st<e2><80><a6> https://t.co/pZLj1210kH",2017-12-07 14:19:58,"https://twitter.com/kstover02/status/938775092108111872",NA,NA,0,"#Riverdale"
"24","#Riverdale bughead broke up varchie broke...<e2><98><b9><ef><b8><8f><ed><a0><be><ed><b4><a7> Whattttt the hell whyyyyyy, and the last scene <ed><a0><bd><ed><b8><94> don't want to see<e2><80><a6> https://t.co/0dJAjl2Bm1",2017-12-07 14:19:57,"https://twitter.com/nikitadhanwatay/status/938775088639369217",NA,NA,0,"#Riverdale"
"25","I<e2><80><99>m very confused, I<e2><80><99>m enjoying Lilli stripping because am gay AF but Betty is like 16. But DIGGING the jacket on her #riverdale",2017-12-07 14:19:39,"https://twitter.com/newxxromantic/status/938775014127669248",NA,NA,0,"#Riverdale"
"26","I honestly did not see that coming and didn<e2><80><99>t even think the writers would acknowledge #barchie THE TEA IS SCATHING #riverdale",2017-12-07 14:19:34,"https://twitter.com/papitasquemado/status/938774992883511297",NA,NA,1,"#Riverdale"
"27","Wt actual fuck is happening to riverdale #Riverdale bughead",2017-12-07 14:19:26,"https://twitter.com/ClarinajoyceB/status/938774957022093313",NA,NA,0,"#Riverdale"
"28","When Jughead called Tallboy a little bitch #Riverdale https://t.co/rwiPTcpHjG",2017-12-07 14:19:17,"https://twitter.com/miaprivitera/status/938774920745455619",NA,NA,0,"#Riverdale"
"29","i know #riverdale did not just play with me like that to make me think mr svenson was the black hood.",2017-12-07 14:19:10,"https://twitter.com/estheritax/status/938774891200950272",NA,NA,0,"#Riverdale"
"30","me @ the breakups in this episode #Riverdale https://t.co/nOZOZlZlGb",2017-12-07 14:19:04,"https://twitter.com/dirkeno/status/938774867305832451",NA,NA,0,"#Riverdale"
"31","Kyneton Archbishop Philip Wilson #AACTAs Kevin Andrews #pmlive #Riverdale #preorderCAMILAtoday Sirius https://t.co/urCZROOlF9",2017-12-07 14:19:02,"https://twitter.com/hobislacheln/status/938774860158914561",NA,NA,0,"#Riverdale"
"32","You<e2><80><99>re always bringing tears to my eyes. Why, Betty? My Barchie heart <ed><a0><bd><ed><b8><ad> My Bughead heart<ed><a0><bd><ed><b8><ad> #Riverdale",2017-12-07 14:19:00,"https://twitter.com/anjelinafolly/status/938774849891078146",NA,NA,0,"#Riverdale"
"33","When Betty had problems and doubts, Jug was always there for her. Not Archie. How can we ship BArchie? I just don't<e2><80><a6> https://t.co/fKdAPjRt3V",2017-12-07 14:18:52,"https://twitter.com/Abiska_JHoran/status/938774814642151425",NA,NA,0,"#Riverdale"
"34","Archie was a dick to Veronica. Going it's okay if you don't say it back to can you not do that too? #Riverdale",2017-12-07 14:18:46,"https://twitter.com/wonderxheart/status/938774793347837952",NA,NA,0,"#Riverdale"
"35","#Riverdale Don't break up #Bughead &amp; #Varchie .<ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b8><ad><ed><a0><bd><ed><b2><94><ed><a0><bd><ed><b2><94><ed><a0><bd><ed><b2><94><ed><a0><bd><ed><b2><94>",2017-12-07 14:18:06,"https://twitter.com/ekitchener97/status/938774625181462528",NA,NA,0,"#Riverdale"
"36","@demonicruby here is the answer to your other question a really hard and great question I might add. also sorry I g<e2><80><a6> https://t.co/8ktNhDl8L3",2017-12-07 14:18:05,"https://twitter.com/archiebettyOTP/status/938774618667614208",NA,NA,1,"#Riverdale"
"37","yaaayyyy new ep. #Riverdale",2017-12-07 14:18:02,"https://twitter.com/itsbeneer19/status/938774605673533440",NA,NA,0,"#Riverdale"
"38","How does V not love Arch?!? <ed><a0><bd><ed><b8><8d><ed><a0><bd><ed><b8><8d> #Riverdale  @CW_Riverdale",2017-12-07 14:17:58,"https://twitter.com/mariaseverino21/status/938774588112232448",NA,NA,1,"#Riverdale"
"39","Cheryl<e2><80><99>s mum is honestly the worst #Riverdale",2017-12-07 14:17:55,"https://twitter.com/lucyjadebuglass/status/938774578444341249",NA,NA,0,"#Riverdale"
"40","I really don<e2><80><99>t know how to take this weeks #riverdale <ed><a0><bd><ed><b8><a9>",2017-12-07 14:17:51,"https://twitter.com/hassinakarim_/status/938774562312998912",NA,NA,0,"#Riverdale"
"41","Cheryl is probably a sociopath #riverdale",2017-12-07 14:17:45,"https://twitter.com/HouseofSwag/status/938774533460381696",NA,NA,0,"#Riverdale"
"42","#Riverdale night <ed><a0><bd><ed><b3><ba><ed><a0><bd><ed><b9><86><ed><a0><bc><ed><bf><bb> https://t.co/LFsvuMUGCU",2017-12-07 14:17:25,"https://twitter.com/landasgilleane/status/938774450043895808",NA,NA,0,"#Riverdale"
"43","I've just watched episode S02E08 of Riverdale! #Riverdale  #tvtime https://t.co/9InMZfBdkG https://t.co/v8PdcVShDC",2017-12-07 14:17:22,"https://twitter.com/santasnix/status/938774439252185089",NA,NA,0,"#Riverdale"
"44","A. M. A. Z. I. N. G. 
that was just TOO much for a single episode (!!!) 
how'd you did that? 
#RIVERDALE https://t.co/DWgcT0ppQ1",2017-12-07 14:17:17,"https://twitter.com/_jeianneparrz/status/938774417005469696",NA,NA,0,"#Riverdale"
"45","Dont break my Varchie heart #Riverdale",2017-12-07 14:16:59,"https://twitter.com/UnionJLovers_/status/938774343609405440",NA,NA,0,"#Riverdale"
"46","I need varchie back. I've just done  watching #Riverdale and I can't cope knowing they are likely going to do this barchie stuff<ed><a0><bd><ed><b8><a3>",2017-12-07 14:16:58,"https://twitter.com/roarr_Ox/status/938774337678708738",NA,NA,0,"#Riverdale"
"47","I'm calling it now: Betty will get kidnapped. Also the writing of season 2 has been shit. Cringeworthy all around.<e2><80><a6> https://t.co/1sCMyjCXuD",2017-12-07 14:16:44,"https://twitter.com/_j3nn/status/938774280862666753",NA,NA,0,"#Riverdale"
"48","Can we all pls have a moment to appreciate this episode of #riverdale",2017-12-07 14:16:42,"https://twitter.com/armani_dagher/status/938774270074699778",NA,NA,0,"#Riverdale"
"49","Archie gets hotter and hotter each episode <ed><a0><bd><ed><b8><a9> #riverdale",2017-12-07 14:16:34,"https://twitter.com/millasglitter/status/938774237648744448",NA,NA,0,"#Riverdale"
"50","Archie is being a dick! I never heard my parents say they love each other either, so it<e2><80><99>s hard AF #riverdale",2017-12-07 14:16:27,"https://twitter.com/newxxromantic/status/938774209492344832",NA,NA,0,"#Riverdale"
"51","It<e2><80><99>d be nicer to have someone as hooked as I am to #riverdale",2017-12-07 14:16:24,"https://twitter.com/anjmallo/status/938774194690465800",NA,NA,0,"#Riverdale"
"52","Isn<e2><80><99>t it about time Bughead had a steamy scene equivalent of Varchie<ed><a0><bd><ed><b1><80> #Riverdale @lilireinhart @colesprouse @kj_apa @CamilaMendes",2017-12-07 14:16:17,"https://twitter.com/elitahynes99/status/938774166806941697",NA,NA,0,"#Riverdale"
"53","@LochlynMunro do you think Alice should leave Hal for FP? or do you think she will leave Hal for him? or do you thi<e2><80><a6> https://t.co/Ft9PrYv06Z",2017-12-07 14:16:14,"https://twitter.com/archiebettyOTP/status/938774153745793024",NA,NA,1,"#Riverdale"
"54","i almost forgot how very gay i am and then #riverdale gave me this https://t.co/hokMbSi2Xw",2017-12-07 14:16:10,"https://twitter.com/karolina_kubin/status/938774138201759744",NA,NA,0,"#Riverdale"
"55","#Riverdale late live tweet thread",2017-12-07 14:15:39,"https://twitter.com/saimisosa/status/938774007893110784",NA,NA,0,"#Riverdale"
"56","Took some hunting for me to find what speech Nixon was giving on the TV in the #Riverdale flashback last night. But<e2><80><a6> https://t.co/dOb4MbMdQs",2017-12-07 14:15:32,"https://twitter.com/thisisjelli/status/938773978528845825",NA,NA,0,"#Riverdale"
"57","Bughead plsss comeback <ed><a0><bd><ed><b8><a2>  #riverdale",2017-12-07 14:15:17,"https://twitter.com/evieamador/status/938773916255784960",NA,NA,0,"#Riverdale"
"58","COOPER WOMEN!!!!!! I.AM.VERY.GAY #riverdale https://t.co/Wh0LQHc0W9",2017-12-07 14:15:06,"https://twitter.com/newxxromantic/status/938773870592577536",NA,NA,0,"#Riverdale"
"59","Anyone else shipping Alice and FP on  #riverdale",2017-12-07 14:15:04,"https://twitter.com/Chloe1D/status/938773861448998913",NA,NA,1,"#Riverdale"
"60","The day you will realize RAS doesn't fucking care about you, #Bughead or anyone else. Trust me your life will be easier. #Riverdale",2017-12-07 14:15:03,"https://twitter.com/AlineTeston/status/938773855048519680",NA,NA,0,"#Riverdale"
"61","Now #Bughead is broken too...My heart cant take it
#Riverdale https://t.co/u2EMhrmFGJ",2017-12-07 14:15:01,"https://twitter.com/vanessa_rocha88/status/938773845959430146",NA,NA,0,"#Riverdale"
"62","@madchenamick That is an EXCELLENT tweet! Score one for #MamaCooper! #Riverdale",2017-12-07 14:14:50,"https://twitter.com/thepeppygleek/status/938773799734075392",NA,NA,0,"#Riverdale"
"63","Last nights #Riverdale was just odd. Like why was Toni bartending, isn<e2><80><99>t she in high school? And why would all thos<e2><80><a6> https://t.co/Kn4poJ6Jq0",2017-12-07 14:14:18,"https://twitter.com/myra7/status/938773666174713861",NA,NA,0,"#Riverdale"
"64","#Riverdale you guys can<e2><80><99>t keep Betty and Juggy in turmoil... my nerves can<e2><80><99>t handle it. Crying like a baby last nig<e2><80><a6> https://t.co/SNpM0NKmDX",2017-12-07 14:14:17,"https://twitter.com/jennaxarkansasx/status/938773664039886850",NA,NA,0,"#Riverdale"
"65","Good morning. You can now stream the newest episode of #Riverdale on The CW app: https://t.co/zuXfrA7bfr https://t.co/JRoVX4fXbB",2017-12-07 14:14:09,"https://twitter.com/GameKnucklesTV/status/938773630523269120",NA,NA,0,"#Riverdale"
"66","The world doesn't deserve Jughead. 
#Riverdale https://t.co/1O86S7Ofj7",2017-12-07 14:14:04,"https://twitter.com/mryanglnepnce/status/938773606766489600",NA,NA,0,"#Riverdale"
"67","@theblueandgoId Definitely not going to give up on #Bughead not now not ever <e2><9d><a4><ef><b8><8f><ed><a0><bd><ed><b1><8c><ed><a0><bc><ed><bf><bb> #Riverdale",2017-12-07 14:14:04,"https://twitter.com/nurse_gracia09/status/938773606695182336",NA,NA,0,"#Riverdale"
"68","THE PONYTAIL IS DOWN I REPEAT THE PONYTAIL IS DOWN #Riverdale",2017-12-07 14:13:59,"https://twitter.com/UnionJLovers_/status/938773588701798400",NA,NA,0,"#Riverdale"
